,lifespan,herbivore_initial_probability,low_predator_initial_probability,top_predator_initial_probability,herbivore_reproduction_rate,low_predator_reproduction_rate,top_predator_reproduction_rate,low_predator_starvation_rate,top_predator_starvation_rate
54,5,0.17784016521271362,0.13410414613310695,0.6880556886541794,0.5443797560450323,0.3655202832732851,0.4065079263341034,32,33
55,3,0.09394929595020585,0.3864283110565232,0.519622392993271,0.613406702829313,0.6784815141338673,0.17429087598774418,26,19
56,17,0.4065179745155578,0.12566799563345554,0.46781402985098663,0.29803214776011,0.5039422577783768,0.0619228365809924,35,24
57,4,0.13470605102962563,0.2859472246599818,0.5793467243103926,0.5934774864638288,0.07940459632513364,0.9162524379932752,13,36
58,8,0.48972507179557,0.2426671682064866,0.2676077599979434,0.2343479692744711,0.18528017327279755,0.09918446863400154,23,25
59,18,0.2667846757552591,0.02110368379873495,0.712111640446006,0.6678917547895695,0.15140697974689732,0.7247855403003329,20,39
60,2,0.41818536251927807,0.5780051450304313,0.003809492450290608,0.06604050735117295,0.564054451306852,0.8104522711296986,19,35
61,0,0.020842499949793702,0.6424937062072308,0.3366637938429755,0.5764661096862587,0.013101765589321301,0.3513567093289969,13,23
62,5,0.3167528492855035,0.2435675751136348,0.4396795756008617,0.7603418888760086,0.9200991563142109,0.3809531550240819,21,37
63,1,0.0877552712976073,0.7127804786933264,0.1994642500090663,0.2050709888635276,0.14208046238941574,0.8483742062915389,20,23
64,14,0.7622216210593188,0.13789404955591633,0.09988432938476488,0.7158942455195764,0.3533524563328996,0.6435047442778,17,18
65,9,0.24478966883296538,0.19404232782423048,0.5611680033428041,0.4912384370475035,0.4528873966013257,0.012299186164045905,15,48
66,0,0.01929759092092853,0.36943283591596676,0.6112695731631047,0.17433272291017987,0.6122380167602811,0.9121779466549172,7,18
67,7,0.48693028478403555,0.2908920082670946,0.22217770694886985,0.4578230994148096,0.08221480094455302,0.653600483661519,9,22
68,4,0.102870944124406,0.11961195581165085,0.7775171000639431,0.8611391367077597,0.6254656659567619,0.587381021239685,23,37
69,12,0.6300663487288152,0.18236836599506967,0.18756528527611516,0.7601585232779339,0.02039974012210477,0.05948955526564281,1,46
70,3,0.11786314808469522,0.4633110850378138,0.41882576687749096,0.6515742399496923,0.38792955342299573,0.8275419747801572,42,48
